torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
351.89114,494.71226,349.0942,-0.025414636,0.32339242,-0.31088552,32.689201,-14.507541,27.657084,43.356026,93.183907,789.52416,296.89136,412.95585,757.53897,393.90295,398.22571,426.84841,335.93598,595.5609
351.86929,494.68969,349.09401,-0.024253311,0.30516142,-0.29324344,32.691242,-14.511645,27.63489,43.357292,93.23922,789.50957,296.97043,412.89543,757.54093,393.87698,398.21599,426.84841,335.93655,595.56052
351.84817,494.69725,349.08192,-0.0031057838,0.31411389,-0.31442481,32.669868,-14.508174,27.67342,43.349297,93.233131,789.45948,296.97938,412.78565,757.54097,393.8992,398.22937,426.88307,335.98107,595.62785
351.82028,494.67076,349.05995,0.023985505,0.29992715,-0.30408573,32.633362,-14.49213,27.642139,43.354103,93.288605,789.32602,296.91039,412.5731,757.58514,393.94961,398.20669,426.87188,335.92115,595.60957
351.79057,494.66851,349.05775,-0.028937548,0.32018837,-0.31432962,32.692394,-14.514299,27.686085,43.361485,93.347275,789.30624,296.90352,412.51197,757.52135,393.89257,398.21338,426.89038,335.94237,595.53196
351.78086,494.65179,349.0309,-0.020661362,0.31666937,-0.31435013,32.693001,-14.506757,27.706175,43.334244,93.275719,789.27715,296.85482,412.43585,757.54218,393.89823,398.22144,426.92761,335.9667,595.61988
351.76384,494.66051,349.0287,-0.013624289,0.30886114,-0.31511718,32.674068,-14.496778,27.714861,43.360233,93.249115,789.2537,296.90112,412.38666,757.5284,393.90462,398.23852,426.95839,335.91082,595.57422
351.73454,494.63182,348.99852,0.025846776,0.31712371,-0.30365077,32.630291,-14.507396,27.729515,43.361435,93.189835,789.21765,296.8886,412.30644,757.5708,393.94351,398.21228,426.96827,335.85172,595.49907
351.71325,494.64186,349.00775,0.011178576,0.31359807,-0.29380947,32.635735,-14.505266,27.711172,43.359398,93.236153,789.21257,296.89132,412.28775,757.56473,393.93733,398.19172,426.96342,335.88028,595.49332
351.67562,494.59692,348.97157,0.027997939,0.32467034,-0.29993391,32.610455,-14.517395,27.741072,43.366741,93.250732,789.17002,296.77393,412.1866,757.55572,393.88692,398.20681,426.93103,335.82591,595.41212
351.65389,494.60853,348.97295,0.045269143,0.31040442,-0.28452033,32.611938,-14.518274,27.705675,43.35701,93.192932,789.19415,296.92543,412.20301,757.52863,393.87771,398.19346,426.94965,335.83874,595.45564
351.60776,494.55768,348.94777,0.040019982,0.33276299,-0.299806,32.59848,-14.52603,27.72402,43.372448,93.207001,789.16645,296.9079,412.14265,757.54237,393.897,398.18055,426.93618,335.7871,595.45227
351.60552,494.57802,348.96268,0.042218536,0.3339093,-0.30539185,32.590351,-14.511758,27.710651,43.370708,93.285866,789.11154,296.8355,412.09597,757.52184,393.91272,398.19838,426.88261,335.74075,595.30651
351.56136,494.49993,348.94303,0.028136455,0.32474869,-0.28881645,32.586655,-14.484844,27.665325,43.348618,93.203247,789.09063,296.81372,412.05823,757.56604,393.89206,398.18453,426.83836,335.74414,595.34937
351.53983,494.52907,348.9536,0.025281552,0.32920364,-0.27243936,32.600407,-14.518385,27.674995,43.357197,93.287445,789.11473,296.80492,412.09062,757.54467,393.89038,398.18565,426.81974,335.73118,595.30593
351.49691,494.45675,348.94463,0.022987369,0.33178324,-0.26826334,32.603577,-14.521759,27.660978,43.350277,93.248466,789.12554,296.93371,412.10243,757.55884,393.87187,398.18472,426.76645,335.67346,595.1953
351.45548,494.47839,348.95504,0.11221769,0.32004312,-0.25604078,32.520706,-14.543355,27.688618,43.358128,93.31723,789.08677,296.80988,412.05669,757.53778,393.90884,398.20525,426.84955,335.80293,595.36839
351.38038,494.42514,348.93226,0.07523258,0.31581536,-0.23458026,32.529621,-14.540819,27.669163,43.364079,93.372864,789.0359,296.7934,412.00419,757.54938,393.88037,398.19807,426.754,335.75327,595.24954
351.33464,494.43681,348.97436,0.083718225,0.31724784,-0.24751446,32.528328,-14.549599,27.687729,43.37241,93.355026,789.03803,296.86924,412.04778,757.57366,393.90217,398.20767,426.7331,335.74793,595.22144
351.28675,494.40041,348.97149,0.06891153,0.3128778,-0.26320165,32.544785,-14.529631,27.701124,43.367332,93.362488,788.98511,296.79833,412.00425,757.52485,393.88199,398.20973,426.70329,335.67556,595.15938
351.24077,494.40505,348.98915,0.0055087111,0.30048001,-0.26950425,32.612068,-14.506731,27.697517,43.347534,93.390167,788.9878,296.84665,412.03533,757.52562,393.87814,398.21723,426.73053,335.76838,595.20068
351.1853,494.33797,348.99058,0.07436607,0.30483669,-0.28849566,32.552906,-14.506431,27.718878,43.349247,93.38707,788.94533,296.75925,412.01482,757.5655,393.95331,398.23265,426.63527,335.70541,595.11825
351.14363,494.33473,349.02646,-0.018119877,0.30344588,-0.28546223,32.651245,-14.511516,27.730412,43.357838,93.374115,788.92262,296.76127,412.00271,757.54773,393.90576,398.22294,426.69113,335.743,595.24942
351.07998,494.28532,349.04806,-0.069575213,0.27970213,-0.25900403,32.685959,-14.505495,27.692286,43.350643,93.378296,788.92891,296.75342,412.02509,757.53594,393.87729,398.21199,426.59832,335.66848,595.06627
351.02671,494.26576,349.04755,-0.046274099,0.29312837,-0.26747847,32.664551,-14.505025,27.725254,43.360676,93.402313,788.91599,296.76391,412.01104,757.52036,393.87338,398.21,426.63784,335.68516,595.13888
350.98823,494.23701,349.07154,-0.086148903,0.29881087,-0.26909837,32.725967,-14.524467,27.716045,43.346104,93.413307,788.86918,296.77585,411.95563,757.58018,393.94432,398.24701,426.61922,335.67271,595.0951
350.93863,494.22173,349.09163,-0.13457349,0.29701981,-0.24952619,32.773254,-14.524137,27.705265,43.342064,93.390335,788.89086,296.80075,411.9756,757.56623,393.92999,398.22656,426.60546,335.63289,595.05629
350.90125,494.21532,349.11048,-0.1119043,0.29745653,-0.25403544,32.73045,-14.526725,27.7096,43.354809,93.365952,788.85826,296.80421,411.9675,757.57455,393.92092,398.20949,426.58455,335.62834,595.02766
350.87499,494.19039,349.12242,-0.12252606,0.29858303,-0.24708855,32.744087,-14.522867,27.699123,43.343887,93.434357,788.84529,296.77681,411.9575,757.53462,393.87516,398.22046,426.57468,335.68822,595.10233
350.84051,494.18412,349.12452,-0.12208541,0.28183365,-0.2457695,32.731754,-14.49994,27.672033,43.338146,93.40255,788.83265,296.80476,411.94856,757.54792,393.88988,398.2299,426.59574,335.68752,595.04643
350.79122,494.16599,349.11571,-0.14522433,0.28643802,-0.24234463,32.751255,-14.505905,27.686659,43.346878,93.399368,788.79958,296.75819,411.91135,757.54355,393.87928,398.21878,426.58455,335.62768,595.02809
350.77366,494.18155,349.14121,-0.16761056,0.28072262,-0.24558097,32.786003,-14.502452,27.681721,43.334175,93.398346,788.82074,296.81862,411.9261,757.52889,393.92569,398.21218,426.5797,335.65526,595.023
350.7093,494.13972,349.12799,-0.13544914,0.30003494,-0.25896722,32.729992,-14.506087,27.706488,43.360432,93.421181,788.7854,296.79033,411.89035,757.5368,393.88295,398.22114,426.54988,335.58278,594.961
350.69689,494.1748,349.13362,-0.13628116,0.28014606,-0.24084879,32.735874,-14.501267,27.677526,43.331123,93.384605,788.76863,296.78929,411.87991,757.51781,393.89484,398.23031,426.51653,335.65857,594.98628
350.64228,494.13193,349.12954,-0.13995154,0.28680855,-0.23675559,32.747566,-14.520247,27.689651,43.323498,93.394722,788.7714,296.79009,411.88495,757.53413,393.8866,398.19767,426.52139,335.63023,594.99188
350.61453,494.17088,349.15655,-0.13816482,0.2872864,-0.22871329,32.748066,-14.529058,27.672573,43.342838,93.431351,788.78819,296.7647,411.89621,757.54234,393.89979,398.21566,426.53258,335.69057,595.00989
350.55577,494.11521,349.15444,-0.15630338,0.27647057,-0.21716745,32.741924,-14.504785,27.658384,43.325535,93.460724,788.76142,296.72762,411.8831,757.56506,393.90355,398.2159,426.51139,335.6983,594.94553
350.52981,494.15852,349.18502,-0.14600737,0.27708763,-0.22509281,32.747471,-14.522174,27.682201,43.328362,93.459862,788.74399,296.8102,411.87573,757.56573,393.91325,398.20948,426.52515,335.73844,594.98413
350.45704,494.09353,349.18007,-0.13092458,0.2635538,-0.19413753,32.725243,-14.531572,27.650778,43.33569,93.441277,788.75499,296.79963,411.90623,757.53716,393.86454,398.2014,426.44851,335.68815,594.94533
350.42483,494.14293,349.22397,-0.182658,0.26401863,-0.21515305,32.778667,-14.506149,27.660589,43.331875,93.441391,788.71872,296.75619,411.91566,757.5431,393.93856,398.24062,426.5091,335.70568,594.96103
350.37048,494.09732,349.2229,-0.15810888,0.26729938,-0.21782592,32.760574,-14.505512,27.674953,43.326607,93.411484,788.70919,296.76151,411.93558,757.56256,393.90014,398.20581,426.39293,335.63818,594.84995
350.34291,494.11456,349.28437,-0.17308196,0.24224243,-0.21792127,32.77673,-14.476384,27.652706,43.313332,93.398796,788.72679,296.79208,411.98095,757.54388,393.90844,398.21338,426.35311,335.63325,594.74195
350.28233,494.05669,349.29633,-0.123771,0.24282478,-0.2281729,32.717812,-14.472904,27.674765,43.340702,93.403862,788.73354,296.77356,412.01639,757.57275,393.91352,398.20773,426.32976,335.64048,594.8139
350.2525,494.07238,349.34608,-0.17482015,0.24902846,-0.25348979,32.79063,-14.45001,27.678291,43.319359,93.373718,788.78554,296.82499,412.09422,757.55329,393.88982,398.21679,426.32234,335.68816,594.78827
350.20112,494.03569,349.35958,-0.113732,0.24609649,-0.2477196,32.695774,-14.415652,27.670317,43.327702,93.386642,788.78327,296.75853,412.10269,757.58833,393.93801,398.19143,426.27132,335.62351,594.66185
350.16893,494.04319,349.41616,-0.13529985,0.247033,-0.25587177,32.716396,-14.400197,27.644497,43.317677,93.461998,788.81803,296.77435,412.15762,757.56959,393.90719,398.2097,426.26875,335.64353,594.64139
350.13475,493.99566,349.43334,-0.14179693,0.26327026,-0.28444052,32.724289,-14.398084,27.672462,43.32687,93.445694,788.82445,296.68946,412.21368,757.54814,393.87617,398.20669,426.24784,335.63855,594.61303
350.09811,493.99952,349.48803,-0.17721432,0.25683886,-0.29052538,32.777168,-14.394008,27.650576,43.316853,93.510544,788.851,296.72311,412.27368,757.57086,393.90503,398.19297,426.19454,335.58101,594.50227
350.06994,493.97764,349.52927,-0.13860629,0.26233274,-0.30921048,32.724506,-14.377166,27.648895,43.315308,93.455551,788.8844,296.67486,412.35688,757.57977,393.92569,398.20837,426.14381,335.50324,594.41211
350.04762,493.99171,349.56132,-0.15325832,0.25930449,-0.31800127,32.763268,-14.356059,27.637934,43.26757,93.506233,788.88431,296.60142,412.44349,757.59204,393.93302,398.17393,426.07578,335.53343,594.37077
350.02921,493.98748,349.60935,-0.152273,0.27342865,-0.33751059,32.779877,-14.339198,27.64328,43.203552,93.438362,788.91619,296.59271,412.52802,757.55998,393.91681,398.22732,426.0523,335.54857,594.32187
349.99462,493.98956,349.64579,-0.089160949,0.26066101,-0.34884363,32.719734,-14.280959,27.618574,43.1511,93.433258,788.92419,296.66487,412.61387,757.55572,393.88328,398.22573,426.00775,335.56346,594.32953
349.97395,493.98221,349.68026,-0.12230144,0.26636797,-0.36066365,32.777542,-14.258525,27.613594,43.101002,93.469772,788.9658,296.58997,412.6934,757.58189,393.91729,398.21268,425.98427,335.57885,594.28047
349.952,493.98851,349.72096,-0.095489234,0.27992505,-0.38308716,32.751884,-14.230203,27.627678,43.075371,93.439178,788.97274,296.5928,412.75339,757.5608,393.92925,398.23636,425.96808,335.55385,594.13659
349.90934,493.97232,349.74457,-0.13079506,0.2748988,-0.40674973,32.798763,-14.179068,27.619911,43.038109,93.459854,788.96208,296.61593,412.78554,757.54234,393.89207,398.23902,425.94688,335.56143,594.07233
349.88718,493.95749,349.78291,-0.086836167,0.26069224,-0.41120577,32.753014,-14.120505,27.585218,43.006027,93.543396,789.00062,296.50428,412.82982,757.58357,393.98672,398.23053,425.82583,335.52154,593.95609
349.85966,493.96219,349.83759,-0.10506166,0.26945075,-0.43459588,32.788609,-14.105418,27.601406,42.97641,93.537819,789.01587,296.45563,412.90325,757.54349,393.87514,398.21217,425.8072,335.50907,593.91232
349.8166,493.92974,349.86644,-0.09630245,0.28798449,-0.46222571,32.800964,-14.055223,27.62068,42.926754,93.510628,789.03892,296.36441,412.95152,757.56568,393.89922,398.20203,425.73554,335.42642,593.79371
349.78305,493.93757,349.91554,-0.093054786,0.28421435,-0.48749551,32.82999,-14.018853,27.613281,42.875572,93.489624,789.05713,296.36946,413.01501,757.54734,393.89282,398.20324,425.73297,335.44644,593.77324
349.72975,493.90421,349.95778,-0.077211179,0.28598595,-0.49886575,32.815865,-13.97527,27.618576,42.848797,93.576881,789.05711,296.24516,413.0451,757.56797,393.87571,398.20502,425.60284,335.34648,593.50275
349.71499,493.92896,350.0257,-0.056491829,0.29084101,-0.52377146,32.818665,-13.944793,27.615465,42.797718,93.509094,789.05333,296.28631,413.08905,757.52548,393.90354,398.21431,425.58813,335.4344,593.57209
349.66625,493.88486,350.05387,-0.05768463,0.29289263,-0.52529275,32.823982,-13.913828,27.59816,42.746674,93.52594,789.05359,296.19091,413.11084,757.58565,393.94362,398.22227,425.49175,335.50716,593.47687
349.64592,493.91879,350.11635,-0.025591904,0.3048771,-0.54754084,32.817715,-13.897112,27.605701,42.708508,93.579193,789.05593,296.17322,413.16027,757.57629,393.92929,398.19909,425.47055,335.51495,593.41246
349.58059,493.86736,350.14574,-0.0059455894,0.3103784,-0.55359071,32.806419,-13.873352,27.606188,42.664394,93.628983,789.0358,296.06981,413.16791,757.53916,393.87017,398.20908,425.34525,335.38731,593.14712
349.55305,493.90543,350.22134,-0.0062859962,0.31334105,-0.56880164,32.82291,-13.833545,27.595592,42.631355,93.6259,789.0323,296.11885,413.21905,757.56845,393.9412,398.25037,425.26115,335.38544,593.08219
349.5241,493.87277,350.25111,0.035383664,0.31402159,-0.579202,32.776131,-13.794206,27.5937,42.605522,93.6782,789.02744,295.99441,413.24531,757.55352,393.89733,398.23589,425.11978,335.22495,592.79372
349.48367,493.90799,350.31767,0.047131684,0.32692662,-0.60496277,32.797379,-13.773366,27.591572,42.553684,93.667946,789.00024,295.99389,413.25993,757.56476,393.92145,398.21725,425.06158,335.19432,592.67823
349.44942,493.87783,350.35459,0.06597688,0.31602165,-0.62612444,32.804356,-13.709462,27.574165,42.507721,93.69767,789.04134,295.9034,413.3198,757.55355,393.88804,398.23813,424.95975,335.05357,592.46039
349.40953,493.91414,350.42599,0.055942304,0.31302419,-0.62537402,32.834385,-13.692112,27.550877,42.469578,93.661682,789.02748,295.95235,413.34015,757.54764,393.89171,398.2308,424.98445,335.16492,592.48233
